Year;LOCATION;VARIABLE;UNIT_MULT;FREQ;OBS_VALUE;TIME_FORMAT;UNIT_MEASURE
2011;Bulgaria;Number of maternal deaths (lower bound);Units;Annual;16.0;Annual;Number
1991;Lebanon;Maternal mortality ratio (MMR) (lower bound);Units;Annual;36.5;Annual;number of maternal deaths per 100,000 live births
1996;Lebanon;Maternal mortality ratio (MMR) (lower bound);Units;Annual;28.0;Annual;number of maternal deaths per 100,000 live births
1997;Lebanon;Maternal mortality ratio (MMR) (lower bound);Units;Annual;26.4;Annual;number of maternal deaths per 100,000 live births
2006;Lebanon;Maternal mortality ratio (MMR) (lower bound);Units;Annual;20.5;Annual;number of maternal deaths per 100,000 live births
1996;Uganda;Maternal mortality ratio (MMR);Units;Annual;598.0;Annual;number of maternal deaths per 100,000 live births
1991;Hungary;Maternal mortality ratio (MMR) (upper bound);Units;Annual;23.6;Annual;number of maternal deaths per 100,000 live births
1992;Seychelles;Number of maternal deaths;Units;Annual;1.0;Annual;Number
2000;Seychelles;Number of maternal deaths;Units;Annual;2.0;Annual;Number
2005;Seychelles;Number of maternal deaths;Units;Annual;2.0;Annual;Number
2009;Lao People's Democratic Republic;Number of maternal deaths (lower bound);Units;Annual;284.0;Annual;Number
1991;Turkey;Maternal mortality ratio (MMR) (lower bound);Units;Annual;89.3;Annual;number of maternal deaths per 100,000 live births
2000;Turkey;Maternal mortality ratio (MMR) (lower bound);Units;Annual;40.8;Annual;number of maternal deaths per 100,000 live births
2005;Turkey;Maternal mortality ratio (MMR) (lower bound);Units;Annual;28.5;Annual;number of maternal deaths per 100,000 live births
1991;Pakistan;Maternal mortality ratio (MMR);Units;Annual;515.2;Annual;number of maternal deaths per 100,000 live births
2005;Belize;Number of maternal deaths;Units;Annual;5.0;Annual;Number
2007;Belize;Number of maternal deaths;Units;Annual;5.0;Annual;Number
1990;Latvia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;32.7;Annual;number of maternal deaths per 100,000 live births
2005;Latvia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;13.6;Annual;number of maternal deaths per 100,000 live births
2007;Latvia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;13.4;Annual;number of maternal deaths per 100,000 live births
2009;Latvia;Maternal mortality ratio (MMR) (lower bound);Units;Annual;10.9;Annual;number of maternal deaths per 100,000 live births
1992;Cote d'Ivoire;Number of maternal deaths (lower bound);Units;Annual;2560.0;Annual;Number
2000;Cote d'Ivoire;Number of maternal deaths (lower bound);Units;Annual;4154.0;Annual;Number
2002;Cote d'Ivoire;Number of maternal deaths (lower bound);Units;Annual;4455.0;Annual;Number
2011;Georgia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;67.6;Annual;number of maternal deaths per 100,000 live births
1991;Solomon Islands;Maternal mortality ratio (MMR) (upper bound);Units;Annual;245.1;Annual;number of maternal deaths per 100,000 live births
1994;Solomon Islands;Maternal mortality ratio (MMR) (upper bound);Units;Annual;216.5;Annual;number of maternal deaths per 100,000 live births
1995;Solomon Islands;Maternal mortality ratio (MMR) (upper bound);Units;Annual;208.8;Annual;number of maternal deaths per 100,000 live births
2007;Solomon Islands;Maternal mortality ratio (MMR) (upper bound);Units;Annual;167.0;Annual;number of maternal deaths per 100,000 live births
1997;Venezuela;Number of maternal deaths (lower bound);Units;Annual;318.0;Annual;Number
1998;Venezuela;Number of maternal deaths (lower bound);Units;Annual;303.0;Annual;Number
2002;Venezuela;Number of maternal deaths (lower bound);Units;Annual;343.0;Annual;Number
2009;Venezuela;Number of maternal deaths (lower bound);Units;Annual;282.0;Annual;Number
2011;Venezuela;Number of maternal deaths (lower bound);Units;Annual;255.0;Annual;Number
2008;Angola;Maternal mortality ratio (MMR) (upper bound);Units;Annual;547.5;Annual;number of maternal deaths per 100,000 live births
2011;Angola;Maternal mortality ratio (MMR) (upper bound);Units;Annual;460.9;Annual;number of maternal deaths per 100,000 live births
1993;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1995;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1996;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2001;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2004;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2009;Luxembourg;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1999;Estonia;Number of maternal deaths (upper bound);Units;Annual;3.0;Annual;Number
2003;Estonia;Number of maternal deaths (upper bound);Units;Annual;3.0;Annual;Number
2007;Estonia;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2009;Estonia;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
2010;Estonia;Number of maternal deaths (upper bound);Units;Annual;1.0;Annual;Number
1995;Sierra Leone;Number of maternal deaths (lower bound);Units;Annual;986.0;Annual;Number
2007;Sierra Leone;Number of maternal deaths (lower bound);Units;Annual;1275.0;Annual;Number
2008;Sierra Leone;Number of maternal deaths (lower bound);Units;Annual;1244.0;Annual;Number
2010;Sierra Leone;Number of maternal deaths (lower bound);Units;Annual;1151.0;Annual;Number
1998;Ethiopia;Number of maternal deaths (upper bound);Units;Annual;23720.0;Annual;Number
2007;Ethiopia;Number of maternal deaths (upper bound);Units;Annual;22926.0;Annual;Number
1992;Syrian Arab Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;92.7;Annual;number of maternal deaths per 100,000 live births
1993;Syrian Arab Republic;Maternal mortality ratio (MMR) (lower bound);Units;Annual;91.3;Annual;number of maternal deaths per 100,000 live births
1991;Jamaica;Number of maternal deaths (upper bound);Units;Annual;63.0;Annual;Number
1994;Jamaica;Number of maternal deaths (upper bound);Units;Annual;53.0;Annual;Number
2006;Jamaica;Number of maternal deaths (upper bound);Units;Annual;41.0;Annual;Number
1991;Tajikistan;Number of maternal deaths (upper bound);Units;Annual;176.0;Annual;Number
2005;Tajikistan;Number of maternal deaths (upper bound);Units;Annual;92.0;Annual;Number
2008;Tajikistan;Number of maternal deaths (upper bound);Units;Annual;85.0;Annual;Number
1991;Gambia;Maternal mortality ratio (MMR);Units;Annual;367.7;Annual;number of maternal deaths per 100,000 live births
2000;Gambia;Maternal mortality ratio (MMR);Units;Annual;313.6;Annual;number of maternal deaths per 100,000 live births
2006;Gambia;Maternal mortality ratio (MMR);Units;Annual;287.7;Annual;number of maternal deaths per 100,000 live births
2010;Gambia;Maternal mortality ratio (MMR);Units;Annual;278.3;Annual;number of maternal deaths per 100,000 live births
1999;Central African Republic;Number of maternal deaths;Units;Annual;1950.0;Annual;Number
2000;Central African Republic;Number of maternal deaths;Units;Annual;1852.0;Annual;Number
1990;Burundi;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1098.8;Annual;number of maternal deaths per 100,000 live births
1998;Burundi;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1677.0;Annual;number of maternal deaths per 100,000 live births
1999;Burundi;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1709.3;Annual;number of maternal deaths per 100,000 live births
2006;Burundi;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1612.8;Annual;number of maternal deaths per 100,000 live births
2010;Burundi;Maternal mortality ratio (MMR) (upper bound);Units;Annual;1281.9;Annual;number of maternal deaths per 100,000 live births
1991;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;61.9;Annual;number of maternal deaths per 100,000 live births
1992;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;60.1;Annual;number of maternal deaths per 100,000 live births
1996;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;57.8;Annual;number of maternal deaths per 100,000 live births
1997;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;57.6;Annual;number of maternal deaths per 100,000 live births
2001;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;60.2;Annual;number of maternal deaths per 100,000 live births
2003;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;59.1;Annual;number of maternal deaths per 100,000 live births
2006;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;54.8;Annual;number of maternal deaths per 100,000 live births
2011;Dominica;Maternal mortality ratio (MMR) (upper bound);Units;Annual;42.5;Annual;number of maternal deaths per 100,000 live births
1993;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;112.0;Annual;Number
1998;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;94.0;Annual;Number
1999;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;89.0;Annual;Number
2002;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;70.0;Annual;Number
2003;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;63.0;Annual;Number
2006;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;57.0;Annual;Number
2008;Korea, Republic of;Number of maternal deaths (lower bound);Units;Annual;51.0;Annual;Number
1991;El Salvador;Maternal mortality ratio (MMR) (upper bound);Units;Annual;145.7;Annual;number of maternal deaths per 100,000 live births
1997;El Salvador;Maternal mortality ratio (MMR) (upper bound);Units;Annual;98.4;Annual;number of maternal deaths per 100,000 live births
2000;El Salvador;Maternal mortality ratio (MMR) (upper bound);Units;Annual;75.9;Annual;number of maternal deaths per 100,000 live births
2008;El Salvador;Maternal mortality ratio (MMR) (upper bound);Units;Annual;55.7;Annual;number of maternal deaths per 100,000 live births
1991;Marshall Islands;Maternal mortality ratio (MMR);Units;Annual;83.2;Annual;number of maternal deaths per 100,000 live births
1993;Marshall Islands;Maternal mortality ratio (MMR);Units;Annual;85.0;Annual;number of maternal deaths per 100,000 live births
1996;Marshall Islands;Maternal mortality ratio (MMR);Units;Annual;87.3;Annual;number of maternal deaths per 100,000 live births
2005;Marshall Islands;Maternal mortality ratio (MMR);Units;Annual;118.5;Annual;number of maternal deaths per 100,000 live births
2011;Marshall Islands;Maternal mortality ratio (MMR);Units;Annual;136.1;Annual;number of maternal deaths per 100,000 live births
1995;Bolivia;Maternal mortality ratio (MMR);Units;Annual;351.4;Annual;number of maternal deaths per 100,000 live births
1996;Bolivia;Maternal mortality ratio (MMR);Units;Annual;339.2;Annual;number of maternal deaths per 100,000 live births
2003;Bolivia;Maternal mortality ratio (MMR);Units;Annual;282.0;Annual;number of maternal deaths per 100,000 live births
2008;Bolivia;Maternal mortality ratio (MMR);Units;Annual;260.9;Annual;number of maternal deaths per 100,000 live births
1992;Hungary;Number of maternal deaths (lower bound);Units;Annual;22.0;Annual;Number
2001;Hungary;Number of maternal deaths (lower bound);Units;Annual;12.0;Annual;Number
2003;Hungary;Number of maternal deaths (lower bound);Units;Annual;11.0;Annual;Number
2009;Hungary;Number of maternal deaths (lower bound);Units;Annual;14.0;Annual;Number
2000;Bosnia and Herzegovina;Maternal mortality ratio (MMR);Units;Annual;20.3;Annual;number of maternal deaths per 100,000 live births
2003;Bosnia and Herzegovina;Maternal mortality ratio (MMR);Units;Annual;17.5;Annual;number of maternal deaths per 100,000 live births
2006;Bosnia and Herzegovina;Maternal mortality ratio (MMR);Units;Annual;16.7;Annual;number of maternal deaths per 100,000 live births
2009;Bosnia and Herzegovina;Maternal mortality ratio (MMR);Units;Annual;16.2;Annual;number of maternal deaths per 100,000 live births
2011;Bosnia and Herzegovina;Maternal mortality ratio (MMR);Units;Annual;15.8;Annual;number of maternal deaths per 100,000 live births
1993;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;144.4;Annual;number of maternal deaths per 100,000 live births
1996;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;126.7;Annual;number of maternal deaths per 100,000 live births
1999;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;126.3;Annual;number of maternal deaths per 100,000 live births
2004;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;138.3;Annual;number of maternal deaths per 100,000 live births
2007;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;130.3;Annual;number of maternal deaths per 100,000 live births
2008;Paraguay;Maternal mortality ratio (MMR) (upper bound);Units;Annual;127.9;Annual;number of maternal deaths per 100,000 live births
1992;Albania;Maternal mortality ratio (MMR) (lower bound);Units;Annual;20.7;Annual;number of maternal deaths per 100,000 live births
2003;Luxembourg;Maternal mortality ratio (MMR) (upper bound);Units;Annual;10.3;Annual;number of maternal deaths per 100,000 live births
2006;Luxembourg;Maternal mortality ratio (MMR) (upper bound);Units;Annual;9.4;Annual;number of maternal deaths per 100,000 live births
2007;Luxembourg;Maternal mortality ratio (MMR) (upper bound);Units;Annual;9.2;Annual;number of maternal deaths per 100,000 live births
1992;Pakistan;Number of maternal deaths;Units;Annual;23343.0;Annual;Number
1993;Austria;Number of maternal deaths;Units;Annual;9.0;Annual;Number
2001;Austria;Number of maternal deaths;Units;Annual;5.0;Annual;Number
1992;United Kingdom;Number of maternal deaths;Units;Annual;80.0;Annual;Number
1995;United Kingdom;Number of maternal deaths;Units;Annual;84.0;Annual;Number
2003;United Kingdom;Number of maternal deaths;Units;Annual;77.0;Annual;Number
2008;United Kingdom;Number of maternal deaths;Units;Annual;86.0;Annual;Number
1990;Cambodia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;465.8;Annual;number of maternal deaths per 100,000 live births
2003;Cambodia;Maternal mortality ratio (MMR) (upper bound);Units;Annual;553.8;Annual;number of maternal deaths per 100,000 live births
1992;Mozambique;Maternal mortality ratio (MMR);Units;Annual;523.5;Annual;number of maternal deaths per 100,000 live births
1998;Mozambique;Maternal mortality ratio (MMR);Units;Annual;535.3;Annual;number of maternal deaths per 100,000 live births
2000;Mozambique;Maternal mortality ratio (MMR);Units;Annual;546.5;Annual;number of maternal deaths per 100,000 live births
2005;Mozambique;Maternal mortality ratio (MMR);Units;Annual;623.7;Annual;number of maternal deaths per 100,000 live births
2010;Mozambique;Maternal mortality ratio (MMR);Units;Annual;548.6;Annual;number of maternal deaths per 100,000 live births
2002;Chad;Maternal mortality ratio (MMR);Units;Annual;854.5;Annual;number of maternal deaths per 100,000 live births
2005;Chad;Maternal mortality ratio (MMR);Units;Annual;807.5;Annual;number of maternal deaths per 100,000 live births
1994;Latvia;Number of maternal deaths (upper bound);Units;Annual;15.0;Annual;Number
1996;Latvia;Number of maternal deaths (upper bound);Units;Annual;9.0;Annual;Number
2007;Solomon Islands;Number of maternal deaths (upper bound);Units;Annual;28.0;Annual;Number
1996;GLOBAL;Maternal mortality ratio (MMR);Units;Annual;306.6;Annual;number of maternal deaths per 100,000 live births
2005;GLOBAL;Maternal mortality ratio (MMR);Units;Annual;262.0;Annual;number of maternal deaths per 100,000 live births
1992;Guinea-Bissau;Number of maternal deaths;Units;Annual;381.0;Annual;Number
1994;Guinea-Bissau;Number of maternal deaths;Units;Annual;385.0;Annual;Number
2007;Guinea-Bissau;Number of maternal deaths;Units;Annual;523.0;Annual;Number
2009;Guinea-Bissau;Number of maternal deaths;Units;Annual;517.0;Annual;Number
2010;Mali;Maternal mortality ratio (MMR) (upper bound);Units;Annual;533.9;Annual;number of maternal deaths per 100,000 live births
1995;Samoa;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
1999;Samoa;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
1996;Argentina;Number of maternal deaths (lower bound);Units;Annual;380.0;Annual;Number
1997;Argentina;Number of maternal deaths (lower bound);Units;Annual;385.0;Annual;Number
2008;Argentina;Number of maternal deaths (lower bound);Units;Annual;407.0;Annual;Number
2010;Argentina;Number of maternal deaths (lower bound);Units;Annual;393.0;Annual;Number
2009;Morocco;Number of maternal deaths (upper bound);Units;Annual;595.0;Annual;Number
2011;Morocco;Number of maternal deaths (upper bound);Units;Annual;613.0;Annual;Number
1990;Cuba;Number of maternal deaths;Units;Annual;85.0;Annual;Number
1991;Cuba;Number of maternal deaths;Units;Annual;88.0;Annual;Number
1993;Cuba;Number of maternal deaths;Units;Annual;85.0;Annual;Number
2005;Cuba;Number of maternal deaths;Units;Annual;71.0;Annual;Number
2007;Cuba;Number of maternal deaths;Units;Annual;59.0;Annual;Number
2009;Cuba;Number of maternal deaths;Units;Annual;51.0;Annual;Number
1991;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;132.8;Annual;number of maternal deaths per 100,000 live births
1998;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;156.7;Annual;number of maternal deaths per 100,000 live births
1999;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;146.5;Annual;number of maternal deaths per 100,000 live births
2003;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;134.5;Annual;number of maternal deaths per 100,000 live births
2007;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;131.5;Annual;number of maternal deaths per 100,000 live births
2010;Guyana;Maternal mortality ratio (MMR) (lower bound);Units;Annual;123.7;Annual;number of maternal deaths per 100,000 live births
1998;Mexico;Number of maternal deaths (upper bound);Units;Annual;1710.0;Annual;Number
2000;Mexico;Number of maternal deaths (upper bound);Units;Annual;1638.0;Annual;Number
2006;Mexico;Number of maternal deaths (upper bound);Units;Annual;1481.0;Annual;Number
1995;Saudi Arabia;Number of maternal deaths (upper bound);Units;Annual;135.0;Annual;Number
2002;Saudi Arabia;Number of maternal deaths (upper bound);Units;Annual;106.0;Annual;Number
2008;Saudi Arabia;Number of maternal deaths (upper bound);Units;Annual;116.0;Annual;Number
1991;Bhutan;Maternal mortality ratio (MMR);Units;Annual;494.1;Annual;number of maternal deaths per 100,000 live births
1992;Bhutan;Maternal mortality ratio (MMR);Units;Annual;454.1;Annual;number of maternal deaths per 100,000 live births
1997;Bhutan;Maternal mortality ratio (MMR);Units;Annual;334.3;Annual;number of maternal deaths per 100,000 live births
2007;Bhutan;Maternal mortality ratio (MMR);Units;Annual;229.0;Annual;number of maternal deaths per 100,000 live births
2008;Bhutan;Maternal mortality ratio (MMR);Units;Annual;213.0;Annual;number of maternal deaths per 100,000 live births
2010;Bhutan;Maternal mortality ratio (MMR);Units;Annual;196.6;Annual;number of maternal deaths per 100,000 live births
2011;Bhutan;Maternal mortality ratio (MMR);Units;Annual;189.9;Annual;number of maternal deaths per 100,000 live births
1995;Bangladesh;Maternal mortality ratio (MMR) (lower bound);Units;Annual;452.3;Annual;number of maternal deaths per 100,000 live births
2009;Bangladesh;Maternal mortality ratio (MMR) (lower bound);Units;Annual;194.0;Annual;number of maternal deaths per 100,000 live births
2011;Bangladesh;Maternal mortality ratio (MMR) (lower bound);Units;Annual;197.1;Annual;number of maternal deaths per 100,000 live births
1993;Moldova;Number of maternal deaths (upper bound);Units;Annual;38.0;Annual;Number
1999;Moldova;Number of maternal deaths (upper bound);Units;Annual;18.0;Annual;Number
2002;Moldova;Number of maternal deaths (upper bound);Units;Annual;14.0;Annual;Number
2005;Moldova;Number of maternal deaths (upper bound);Units;Annual;13.0;Annual;Number
2006;Moldova;Number of maternal deaths (upper bound);Units;Annual;13.0;Annual;Number
2007;Moldova;Number of maternal deaths (upper bound);Units;Annual;13.0;Annual;Number
2009;Moldova;Number of maternal deaths (upper bound);Units;Annual;12.0;Annual;Number
1992;Mexico;Number of maternal deaths;Units;Annual;1636.0;Annual;Number
1993;Mexico;Number of maternal deaths;Units;Annual;1587.0;Annual;Number
1998;Mexico;Number of maternal deaths;Units;Annual;1576.0;Annual;Number
2003;Mexico;Number of maternal deaths;Units;Annual;1478.0;Annual;Number
2007;Mexico;Number of maternal deaths;Units;Annual;1316.0;Annual;Number
2009;Mexico;Number of maternal deaths;Units;Annual;1370.0;Annual;Number
1992;Malawi;Number of maternal deaths (lower bound);Units;Annual;3107.0;Annual;Number
1996;Malawi;Number of maternal deaths (lower bound);Units;Annual;5555.0;Annual;Number
1998;Malawi;Number of maternal deaths (lower bound);Units;Annual;6364.0;Annual;Number
2003;Malawi;Number of maternal deaths (lower bound);Units;Annual;5432.0;Annual;Number
2004;Malawi;Number of maternal deaths (lower bound);Units;Annual;5032.0;Annual;Number
2008;Malawi;Number of maternal deaths (lower bound);Units;Annual;3337.0;Annual;Number
2010;Malawi;Number of maternal deaths (lower bound);Units;Annual;2578.0;Annual;Number
1991;Cameroon;Number of maternal deaths (lower bound);Units;Annual;2342.0;Annual;Number
2009;Cameroon;Number of maternal deaths (lower bound);Units;Annual;3159.0;Annual;Number
2011;Cameroon;Number of maternal deaths (lower bound);Units;Annual;2947.0;Annual;Number
1992;Micronesia, Federated States of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;202.7;Annual;number of maternal deaths per 100,000 live births
1998;Micronesia, Federated States of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;167.6;Annual;number of maternal deaths per 100,000 live births
2003;Micronesia, Federated States of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;134.9;Annual;number of maternal deaths per 100,000 live births
2006;Micronesia, Federated States of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;121.2;Annual;number of maternal deaths per 100,000 live births
2007;Micronesia, Federated States of;Maternal mortality ratio (MMR) (upper bound);Units;Annual;115.6;Annual;number of maternal deaths per 100,000 live births
1994;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;255.2;Annual;number of maternal deaths per 100,000 live births
1997;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;350.1;Annual;number of maternal deaths per 100,000 live births
1998;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;416.5;Annual;number of maternal deaths per 100,000 live births
2000;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;591.1;Annual;number of maternal deaths per 100,000 live births
2001;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;685.5;Annual;number of maternal deaths per 100,000 live births
2004;Swaziland;Maternal mortality ratio (MMR) (lower bound);Units;Annual;777.5;Annual;number of maternal deaths per 100,000 live births
1997;Gabon;Maternal mortality ratio (MMR) (upper bound);Units;Annual;675.3;Annual;number of maternal deaths per 100,000 live births
1998;Gabon;Maternal mortality ratio (MMR) (upper bound);Units;Annual;701.9;Annual;number of maternal deaths per 100,000 live births
2002;Gabon;Maternal mortality ratio (MMR) (upper bound);Units;Annual;729.8;Annual;number of maternal deaths per 100,000 live births
2011;Gabon;Maternal mortality ratio (MMR) (upper bound);Units;Annual;552.4;Annual;number of maternal deaths per 100,000 live births
1991;Mexico;Number of maternal deaths (lower bound);Units;Annual;1522.0;Annual;Number
1992;Mexico;Number of maternal deaths (lower bound);Units;Annual;1486.0;Annual;Number
1994;Mexico;Number of maternal deaths (lower bound);Units;Annual;1458.0;Annual;Number
1996;Mexico;Number of maternal deaths (lower bound);Units;Annual;1413.0;Annual;Number
1998;Mexico;Number of maternal deaths (lower bound);Units;Annual;1435.0;Annual;Number
2000;Mexico;Number of maternal deaths (lower bound);Units;Annual;1375.0;Annual;Number
2001;Mexico;Number of maternal deaths (lower bound);Units;Annual;1352.0;Annual;Number
2002;Mexico;Number of maternal deaths (lower bound);Units;Annual;1371.0;Annual;Number
2010;Mexico;Number of maternal deaths (lower bound);Units;Annual;1260.0;Annual;Number
2011;Mexico;Number of maternal deaths (lower bound);Units;Annual;1257.0;Annual;Number
1996;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4388.0;Annual;Number
1997;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4632.0;Annual;Number
1998;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4865.0;Annual;Number
1999;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4966.0;Annual;Number
2002;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4806.0;Annual;Number
2004;Cameroon;Number of maternal deaths (upper bound);Units;Annual;4885.0;Annual;Number
2006;Malawi;Number of maternal deaths (upper bound);Units;Annual;5977.0;Annual;Number
1992;Latvia;Number of maternal deaths (lower bound);Units;Annual;10.0;Annual;Number
1993;Latvia;Number of maternal deaths (lower bound);Units;Annual;11.0;Annual;Number
1997;Latvia;Number of maternal deaths (lower bound);Units;Annual;6.0;Annual;Number
2000;Latvia;Number of maternal deaths (lower bound);Units;Annual;4.0;Annual;Number
2001;Latvia;Number of maternal deaths (lower bound);Units;Annual;4.0;Annual;Number
2010;Latvia;Number of maternal deaths (lower bound);Units;Annual;2.0;Annual;Number
2007;Albania;Maternal mortality ratio (MMR) (upper bound);Units;Annual;10.1;Annual;number of maternal deaths per 100,000 live births
1995;Serbia;Maternal mortality ratio (MMR);Units;Annual;20.2;Annual;number of maternal deaths per 100,000 live births
2001;Serbia;Maternal mortality ratio (MMR);Units;Annual;13.2;Annual;number of maternal deaths per 100,000 live births
2004;Serbia;Maternal mortality ratio (MMR);Units;Annual;11.5;Annual;number of maternal deaths per 100,000 live births
1996;Rwanda;Number of maternal deaths (lower bound);Units;Annual;1655.0;Annual;Number
1997;Burundi;Number of maternal deaths (upper bound);Units;Annual;3996.0;Annual;Number
2002;Burundi;Number of maternal deaths (upper bound);Units;Annual;4375.0;Annual;Number
1991;Kuwait;Number of maternal deaths;Units;Annual;12.0;Annual;Number
1998;Kuwait;Number of maternal deaths;Units;Annual;10.0;Annual;Number
1993;Uganda;Maternal mortality ratio (MMR) (lower bound);Units;Annual;670.5;Annual;number of maternal deaths per 100,000 live births
1995;Uganda;Maternal mortality ratio (MMR) (lower bound);Units;Annual;603.1;Annual;number of maternal deaths per 100,000 live births
2009;Malawi;Maternal mortality ratio (MMR);Units;Annual;589.0;Annual;number of maternal deaths per 100,000 live births
1990;Guatemala;Number of maternal deaths (upper bound);Units;Annual;648.0;Annual;Number
2003;Guatemala;Number of maternal deaths (upper bound);Units;Annual;432.0;Annual;Number
2006;Guatemala;Number of maternal deaths (upper bound);Units;Annual;438.0;Annual;Number
2007;Guatemala;Number of maternal deaths (upper bound);Units;Annual;447.0;Annual;Number
1995;Bhutan;Number of maternal deaths (upper bound);Units;Annual;74.0;Annual;Number
1999;Bhutan;Number of maternal deaths (upper bound);Units;Annual;59.0;Annual;Number
2002;Bhutan;Number of maternal deaths (upper bound);Units;Annual;56.0;Annual;Number
2005;Bhutan;Number of maternal deaths (upper bound);Units;Annual;50.0;Annual;Number
2008;Bhutan;Number of maternal deaths (upper bound);Units;Annual;40.0;Annual;Number
1990;Peru;Number of maternal deaths;Units;Annual;1129.0;Annual;Number
1996;Peru;Number of maternal deaths;Units;Annual;1028.0;Annual;Number
1998;Peru;Number of maternal deaths;Units;Annual;852.0;Annual;Number
1991;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;337.0;Annual;number of maternal deaths per 100,000 live births
1992;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;348.6;Annual;number of maternal deaths per 100,000 live births
1994;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;404.7;Annual;number of maternal deaths per 100,000 live births
1997;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;519.3;Annual;number of maternal deaths per 100,000 live births
1999;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;591.4;Annual;number of maternal deaths per 100,000 live births
2002;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;613.6;Annual;number of maternal deaths per 100,000 live births
2010;Nigeria;Maternal mortality ratio (MMR) (lower bound);Units;Annual;432.1;Annual;number of maternal deaths per 100,000 live births
1991;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1082.0;Annual;number of maternal deaths per 100,000 live births
1996;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1316.8;Annual;number of maternal deaths per 100,000 live births
1998;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1326.1;Annual;number of maternal deaths per 100,000 live births
2004;Afghanistan;Maternal mortality ratio (MMR);Units;Annual;1236.9;Annual;number of maternal deaths per 100,000 live births
